Idade,Nome,Profissão,Sexo,Nascimento
63,Regiane Santos Paiva,Bióloga,M,1998-12-05 00:00:00
64,Raul Vitor Lopes da Costa,Analista,M,1999-01-01 00:00:00
65,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,1999-01-02 00:00:00
66,Juliana Abreu Amaral,Dona do Google,F,1999-01-03 00:00:00
67,Cleyciane Farias,Empresaria,F,1999-01-04 00:00:00
68,Jonivalber Manoel Silva,Médico,M,1999-01-05 00:00:00
69,Regiane Santos Paiva,Bióloga,M,1999-01-06 00:00:00
70,Raul Vitor Lopes da Costa,Analista,M,1999-02-01 00:00:00
71,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,1999-02-02 00:00:00
72,Juliana Abreu Amaral,Dona do Google,F,1999-02-03 00:00:00
73,Cleyciane Farias,Empresaria,F,1999-02-04 00:00:00
74,Jonivalber Manoel Silva,Médico,M,1999-02-05 00:00:00
75,Regiane Santos Paiva,Bióloga,M,1999-02-06 00:00:00
76,Raul Vitor Lopes da Costa,Analista,M,1999-03-01 00:00:00
77,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,1999-03-02 00:00:00
78,Juliana Abreu Amaral,Dona do Google,F,1999-03-03 00:00:00
79,Cleyciane Farias,Empresaria,F,1999-03-04 00:00:00
80,Jonivalber Manoel Silva,Médico,M,1999-03-05 00:00:00
81,Jonivalber Manoel Silva,Médico,M,1999-03-06 00:00:00
82,Regiane Santos Paiva,Bióloga,M,1999-04-01 00:00:00
83,Raul Vitor Lopes da Costa,Analista,M,1999-04-02 00:00:00
84,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,1999-04-03 00:00:00
85,Juliana Abreu Amaral,Dona do Google,F,1999-04-04 00:00:00
86,Cleyciane Farias,Empresaria,F,1999-04-05 00:00:00
87,Jonivalber Manoel Silva,Médico,M,1999-05-01 00:00:00
88,Regiane Santos Paiva,Bióloga,M,1999-05-02 00:00:00
89,Raul Vitor Lopes da Costa,Analista,M,1999-05-03 00:00:00
90,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,1999-05-04 00:00:00
91,Juliana Abreu Amaral,Dona do Google,F,1999-05-05 00:00:00
92,Cleyciane Farias,Empresaria,F,1999-06-01 00:00:00
93,Jonivalber Manoel Silva,Médico,M,1999-06-02 00:00:00
94,Regiane Santos Paiva,Bióloga,M,1999-06-03 00:00:00
95,Raul Vitor Lopes da Costa,Analista,M,1999-06-04 00:00:00
96,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,1999-06-05 00:00:00
97,Juliana Abreu Amaral,Dona do Google,F,1999-07-01 00:00:00
98,Cleyciane Farias,Empresaria,F,1999-07-02 00:00:00
99,Jonivalber Manoel Silva,Médico,M,1999-07-03 00:00:00
100,Regiane Santos Paiva,Bióloga,M,1999-07-04 00:00:00
101,Regiane Santos Paiva,Bióloga,M,1999-07-05 00:00:00
102,Juliana Abreu Amaral,Dona do Google,F,1999-08-01 00:00:00
103,Cleyciane Farias,Empresaria,F,1999-08-02 00:00:00
104,Jonivalber Manoel Silva,Médico,M,1999-08-03 00:00:00
105,Regiane Santos Paiva,Bióloga,M,1999-08-04 00:00:00
106,Regiane Santos Paiva,Bióloga,M,1999-08-05 00:00:00
107,Juliana Abreu Amaral,Dona do Google,F,1999-09-01 00:00:00
108,Cleyciane Farias,Empresaria,F,1999-09-02 00:00:00
109,Jonivalber Manoel Silva,Médico,M,1999-09-03 00:00:00
111,Regiane Santos Paiva,Bióloga,M,1999-09-04 00:00:00
112,Regiane Santos Paiva,Bióloga,M,1999-09-05 00:00:00
113,Juliana Abreu Amaral,Dona do Google,F,1999-10-01 00:00:00
114,Cleyciane Farias,Empresaria,F,1999-10-02 00:00:00
115,Jonivalber Manoel Silva,Médico,M,1999-10-03 00:00:00
116,Regiane Santos Paiva,Bióloga,M,1999-10-04 00:00:00
117,Regiane Santos Paiva,Bióloga,M,1999-10-05 00:00:00
118,Juliana Abreu Amaral,Dona do Google,F,1999-11-01 00:00:00
119,Cleyciane Farias,Empresaria,F,1999-11-02 00:00:00
120,Jonivalber Manoel Silva,Médico,M,1999-11-03 00:00:00
121,Regiane Santos Paiva,Bióloga,M,1999-11-04 00:00:00
122,Regiane Santos Paiva,Bióloga,M,1999-11-05 00:00:00
123,Juliana Abreu Amaral,Dona do Google,F,1999-12-01 00:00:00
124,Cleyciane Farias,Empresaria,F,1999-12-02 00:00:00
125,Jonivalber Manoel Silva,Médico,M,1999-12-03 00:00:00
126,Regiane Santos Paiva,Bióloga,M,1999-12-04 00:00:00
